rank,primary_brand,total_products,healthy_products,healthy_frac,avg_protein,avg_sugar
565,Ferrara Candy Company,89,0,0.0,0.7,68.1
566,Pillsbury,82,0,0.0,3.9,32.5
567,Tootsie,81,0,0.0,0.5,55.3
568,Welch'S,80,0,0.0,2.5,46.1
569,Skittles,79,0,0.0,0.3,63.3
570,Little Debbie,77,0,0.0,3.8,36.9
571,Betty Crocker,71,0,0.0,3.4,44.5
572,Black Forest,70,0,0.0,3.0,49.8
573,Trolli,70,0,0.0,3.2,49.5
574,Kitkat,66,0,0.0,5.9,48.1
575,Nature'S Bakery,62,0,0.0,5.2,31.2
576,Jif,61,0,0.0,17.9,16.0
577,Mezzetta,60,0,0.0,0.8,3.0
578,Storck,60,0,0.0,3.7,41.6
579,Trident,59,0,0.0,0.1,14.5
580,Snickers,56,0,0.0,8.1,48.7
581,Brookside,55,0,0.0,4.5,51.8
582,Twizzlers,55,0,0.0,2.9,45.3
583,Fannie May,54,0,0.0,5.2,45.8
584,The Bakery Baked With Pride,54,0,0.0,4.7,33.2
585,Silk,50,0,0.0,1.1,3.7
586,Sun-Maid,50,0,0.0,2.7,59.0
587,Leclerc,49,0,0.0,5.0,33.5
588,Hawaiian Host Inc.,48,0,0.0,6.0,38.9
589,Frankford,46,0,0.0,2.9,64.8
590,Airheads,44,0,0.0,0.4,61.9
591,Belvita,43,0,0.0,7.8,21.1
592,Vlasic,43,0,0.0,0.3,7.5
593,Wilton,43,0,0.0,1.3,61.6
594,Marinela,41,0,0.0,4.6,32.1
595,Nerds,41,0,0.0,1.1,76.0
596,Dove,39,0,0.0,6.3,47.5
597,Sunrise,39,0,0.0,1.5,67.4
598,Pop-Tarts,38,0,0.0,4.1,33.3
599,Rich Products Corporation,38,0,0.0,4.4,38.8
600,Bimbo,37,0,0.0,5.8,24.4
601,Sweet'S,37,0,0.0,1.0,62.0
602,Hershey,35,0,0.0,7.1,47.8
603,Krusteaz,35,0,0.0,5.5,35.6
604,Nature'S Path Organic,35,0,0.0,8.8,22.8
605,Holiday Candy Corp  Inc.,34,0,0.0,2.8,57.5
606,Whitman'S,34,0,0.0,4.6,46.6
607,Charms,33,0,0.0,0.0,73.1
608,Favorite Day,33,0,0.0,6.2,37.6
609,Victoria,32,0,0.0,1.2,3.5
610,Dubble Bubble,31,0,0.0,0.0,81.9
611,Mike And Ike,31,0,0.0,0.1,60.1
612,Mt. Olive,31,0,0.0,0.0,11.7
613,Chex Mix,30,0,0.0,7.0,17.7
614,Ferrero,30,0,0.0,6.2,43.0
615,Lifesavers,30,0,0.0,1.0,65.6
616,Kinder,29,0,0.0,8.5,47.4
617,Lindsay,29,0,0.0,0.6,0.6
618,Sanders,29,0,0.0,4.3,43.2
619,Sunbelt Bakery,29,0,0.0,6.6,32.2
620,Bakery Fresh Goodness,28,0,0.0,4.1,34.3
621,Labree'S Bakery Inc,28,0,0.0,3.4,40.2
622,Sweet Smiles,28,0,0.0,2.9,63.5
623,Wrigley'S,28,0,0.0,0.0,30.3
624,Signature,27,0,0.0,4.4,19.2
625,Brown & Haley,26,0,0.0,5.1,46.2
626,Disney,26,0,0.0,1.8,67.7
627,Loacker,26,0,0.0,7.6,29.9
628,Mentos,26,0,0.0,0.2,18.5
629,Mott'S,26,0,0.0,0.4,30.9
630,Pez,25,0,0.0,0.0,97.6
631,Santa'S Treats,25,0,0.0,1.1,66.3
632,Signature Kitchens,25,0,0.0,4.3,24.0
633,Stella D'Oro,25,0,0.0,5.8,30.4
634,Werther'S Original,25,0,0.0,1.9,41.9
635,Bare,24,0,0.0,3.6,49.4
636,Chips Ahoy!,24,0,0.0,3.6,34.3
637,Del Monte,24,0,0.0,0.9,13.1
638,Dole,24,0,0.0,1.9,28.7
639,Klondike,24,0,0.0,2.3,25.0
640,Old Dominion Peanut Company,24,0,0.0,10.1,46.1
641,Shearer'S Foods Inc.,24,0,0.0,6.5,3.9
642,Sour Punch,24,0,0.0,2.7,44.7
643,Winn-Dixie,24,0,0.0,4.9,27.3
644,George Delallo Co.  Inc.,23,0,0.0,3.1,23.1
645,Wegmans Food Markets  Inc.,23,0,0.0,7.2,33.0
646,Cookies United  Llc,22,0,0.0,4.7,31.4
647,Endangered Species Chocolate,22,0,0.0,7.3,29.5
648,Fenton Enterprises  Inc.,22,0,0.0,2.5,53.9
649,Ferrero Rocher,22,0,0.0,7.5,39.0
650,Jelly Belly Candy Company,22,0,0.0,0.3,69.1
651,Just Born  Inc.,22,0,0.0,1.1,61.5
652,Kit Kat,22,0,0.0,5.9,49.1
653,Chocxo,21,0,0.0,6.4,20.5
654,Clément Faugier,21,0,0.0,1.7,43.9
655,Kingston Marketing Co,21,0,0.0,4.4,33.8
656,Long Grove Confectionery Co.,21,0,0.0,4.7,52.1
657,Nutella,21,0,0.0,6.3,45.0
658,Petri Baking Products  Inc.,21,0,0.0,4.1,33.9
659,Progressive Balloons  Inc.,21,0,0.0,0.6,79.8
660,Sara Lee,21,0,0.0,4.1,29.0
661,Sour Patch Kids,21,0,0.0,0.0,76.1
662,Taste Of Nature,21,0,0.0,11.9,23.8
